site_id,lat,lon,traffic_score,parking_score,demand_proxy
PK_36,30.2664967,-97.7436218,72.48042819824596,100.0,52.224443679757314
PK_66,30.2713547,-97.7375717,61.24126490335088,100.0,69.38431450008302
PK_641,30.2664795,-97.7478409,79.11041646467218,100.0,55.21081803165391
PK_1613,30.2604523,-97.7393723,32.179781770922915,100.0,49.48890879283922
PK_25,30.2711315,-97.7453613,87.41923103852803,100.0,79.1877316577575
PK_374,30.271452,-97.7435074,83.7823299424143,100.0,79.53181767926289
PK_18,30.2655983,-97.7462158,70.73598456283922,100.0,53.8344739456324
PK_386,30.2689056,-97.7432175,78.45813657758649,100.0,66.28915691587048
PK_648,30.2712593,-97.7503433,91.72389350614584,100.0,68.29450116794227
PK_429,30.2643738,-97.7428513,62.60825577954055,100.0,54.63304583029495
PK_30,30.2707367,-97.7407608,77.68138342823167,100.0,81.45951830507786
PK_329,30.2677307,-97.7383041,53.3820818534317,100.0,48.007730241567984
PK_406,30.2669926,-97.7422409,70.68069269370072,100.0,55.66370716181953
PK_332,30.2689705,-97.7382584,56.707589723454255,100.0,46.63138615554647
PK_1283,30.269228,-97.7484894,86.16856375566094,100.0,66.52284309572406
PK_969,30.268631,-97.746582,79.44668007262382,100.0,66.26697491563942
PK_361,30.2707386,-97.739296,75.58348931967292,100.0,87.64116738739119
PK_354,30.2690048,-97.7390671,57.67564388692118,100.0,60.10669290344113
PK_366,30.2694607,-97.7460098,79.09793642032537,100.0,67.9874050231663
PK_340,30.2689705,-97.7408295,73.67667328326031,100.0,61.150850272740705
PK_347,30.2670002,-97.7338104,20.06138851684682,100.0,37.730812184695964
PK_967,30.2725601,-97.7444839,86.77554977928664,100.0,80.56407574377901
PK_92,30.269146,-97.7518692,100.0,100.0,57.2325205150789
PK_339,30.2686081,-97.7406387,72.33561301311906,100.0,62.52719435876222
PK_77,30.2668571,-97.7469711,77.00079549177956,100.0,57.27533416068617
PK_1282,30.2740536,-97.7370529,64.99520892940464,100.0,69.72043010752688
PK_383,30.2685566,-97.7474594,82.02609290844362,100.0,72.37230546131545
PK_13,30.2672024,-97.747612,80.07156527185873,100.0,57.27533416068617
PK_380,30.2681046,-97.7455978,75.7215986602932,100.0,72.27143301402815
