geoid,name,lat,lon,pop,housing_units,area_sqkm
48453002307,23.07,30.2231055,-97.7409663,5325,2959,2.119483383296974
48453002003,20.03,30.2191919,-97.7745888,4005,1516,2.044869021827634
48453000101,1.01,30.3233362,-97.753187,4469,2199,3.0498166737815606
48453002313,23.13,30.2201799,-97.7260196,4192,2210,2.4320249131181098
48453000700,7,30.2777004,-97.7411232,1411,924,1.6151404276001522
48453001604,16.04,30.3028407,-97.7724028,4147,1757,3.3214251823791403
48453001910,19.10,30.2700666,-97.798031,4914,2038,7.076537312434501
48453002407,24.07,30.1290208,-97.8155525,9856,4931,15.478719702617136
48453002315,23.15,30.2339235,-97.7321352,3027,1781,0.4778375395587743
48453001308,13.08,30.2327365,-97.7617625,2927,1886,1.2756217261364697
48453001911,19.11,30.2592651,-97.7857165,2948,1956,3.347952480831959
48491020513,205.13,30.4685841,-97.6986332,2928,1640,5.311146216535412
48491020347,203.47,30.5127306,-97.791402,3522,1288,6.51135272503665
48453002110,21.10,30.2740922,-97.6772217,4278,1682,3.6145007996380105
48453002111,21.11,30.2571318,-97.68541,4987,2235,6.786311899316119
48453002105,21.05,30.3149131,-97.7055982,4614,2367,1.9358006465272144
48453002106,21.06,30.3067196,-97.6903234,2952,1229,1.629281542178165
48453002107,21.07,30.2956666,-97.6828609,3681,1614,3.057186458844441
48453002109,21.09,30.2815089,-97.690577,3834,1856,2.7967909337741927
48453000204,2.04,30.3071636,-97.7444646,3167,1783,1.822933178346531
48453001403,14.03,30.2399115,-97.7350702,1391,870,0.8000349302708921
48453002108,21.08,30.2974252,-97.6689472,3836,1822,3.3775104937207745
48453001913,19.13,30.31811,-97.7979896,5009,1867,12.508992470610588
48453000902,9.02,30.2591922,-97.7159697,7803,4799,3.0414289822346645
48453001000,10,30.2528309,-97.7258285,3445,1695,2.3363959927451456
48453001200,12,30.2727828,-97.7591845,6173,4514,2.5136147025336766
48453001304,13.04,30.2484063,-97.7734338,4087,2219,1.8279904879205333
48453001307,13.07,30.2363486,-97.7685996,3743,2127,1.7694960186160817
48453001401,14.01,30.2502458,-97.7449822,2876,1969,1.3911307605042258
48453000102,1.02,30.3262719,-97.7668011,2597,1149,5.713687829360856
48453002104,21.04,30.3147336,-97.6965729,2707,1203,1.237907802629497
48453000203,2.03,30.3126203,-97.7366662,2537,1485,1.2085174136376688
48453000302,3.02,30.3025591,-97.7265034,5245,3172,2.052160969869339
48453000401,4.01,30.2882481,-97.7250558,4477,2453,2.1826932015947986
48453001503,15.03,30.3272564,-97.7157687,4802,3172,3.475142680566579
48453001402,14.02,30.243658,-97.7411635,2552,1469,1.3472816754034596
48453001504,15.04,30.346544,-97.725086,6374,3574,2.6337636184565016
48453001505,15.05,30.3363861,-97.7304291,4843,2596,2.1529230489100217
48453001501,15.01,30.3465781,-97.7433051,5457,2500,3.472367496663959
48453001602,16.02,30.2900812,-97.7782019,3084,1689,2.8838937287421365
48453002002,20.02,30.2230946,-97.7848189,2975,1471,1.589728550029712
48453002004,20.04,30.2360684,-97.7882269,3041,2216,0.8590677023711702
48491020508,205.08,30.4888626,-97.7799701,5655,2668,4.989457945605827
48491020409,204.09,30.4671861,-97.7654874,6859,3313,4.918338365086121
48491020411,204.11,30.4654864,-97.7390817,6115,2529,10.543105695394326
48491020509,205.09,30.5053485,-97.7545305,7017,2261,4.600568932245919
48453001916,19.16,30.3031057,-97.8749346,3366,1035,13.455472065008683
48453001918,19.18,30.2936831,-97.8125401,2609,1035,8.599884748772476
48453001914,19.14,30.2571286,-97.8391292,6805,3346,13.67750667308803
48453002430,24.30,30.1717783,-97.7547761,2267,706,2.2333666564471955
48453000304,3.04,30.3093739,-97.7169143,3068,1730,1.1925247187777677
48453002319,23.19,30.1998047,-97.6449201,2330,4,0.7131410822585873
48453001917,19.17,30.2743991,-97.8287014,5005,1731,8.095858928058263
48453000206,2.06,30.3261412,-97.7435231,3201,1728,1.4808074581223296
48453000305,3.05,30.3148733,-97.726308,3773,2108,1.479012174050973
48453000205,2.05,30.3261646,-97.7343267,4186,2780,1.51215969987927
48453000307,3.07,30.2970325,-97.7125652,1841,890,1.2143375292915417
48453001919,19.19,30.2771728,-97.7951277,3767,1404,4.432251119159129
