site_id,lat,lon,is_existing,community_id,distance_to_nearest_existing_km,node_weight
OCM_218207,30.268935,-97.744647,True,0,0.0,
OCM_218208,30.268994,-97.751493,True,0,0.0,
OCM_218213,30.274796,-97.769882,True,0,0.0,
OCM_218214,30.276513,-97.729639,True,0,0.0,
OCM_218215,30.277097,-97.634893,True,10,0.0,
OCM_218219,30.2822736764252,-97.7430151249186,True,0,0.0,
OCM_218220,30.283043,-97.707983,True,0,0.0,
OCM_218221,30.28308,-97.7258,True,0,0.0,
OCM_218229,30.289814,-97.827463,True,0,0.0,
OCM_218231,30.291332,-97.826267,True,0,0.0,
OCM_218232,30.29923,-97.721107,True,0,0.0,
OCM_218234,30.299838,-97.720009,True,0,0.0,
OCM_218237,30.303737,-97.941771,True,1,0.0,
OCM_218238,30.305167,-97.765949,True,0,0.0,
OCM_218239,30.308484,-97.740767,True,0,0.0,
OCM_218240,30.309283,-97.94238,True,1,0.0,
OCM_218241,30.313382,-97.734117,True,0,0.0,
OCM_218248,30.325389,-97.71163,True,0,0.0,
OCM_218249,30.325211,-97.708898,True,0,0.0,
OCM_218252,30.325393,-97.712176,True,0,0.0,
OCM_218254,30.325472,-97.711875,True,0,0.0,
OCM_218256,30.325758,-97.709208,True,0,0.0,
OCM_218258,30.3270635018948,-97.6267227094777,True,11,0.0,
OCM_218262,30.344479,-97.737388,True,0,0.0,
OCM_218264,30.345185,-97.801763,True,6,0.0,
OCM_218265,30.345234,-97.7093,True,0,0.0,
OCM_218267,30.355819,-97.68882,True,0,0.0,
OCM_218274,30.377307,-97.639693,True,0,0.0,
OCM_218276,30.3807655,-97.6518017,True,0,0.0,
OCM_218277,30.380918,-97.877397,True,2,0.0,
OCM_218278,30.382631,-97.878773,True,2,0.0,
OCM_218280,30.382266,-97.64835,True,0,0.0,
OCM_218281,30.384216,-97.648232,True,0,0.0,
OCM_218282,30.386721,-97.684214,True,0,0.0,
OCM_218286,30.386502,-97.71917,True,0,0.0,
OCM_218287,30.387332,-97.883922,True,2,0.0,
OCM_218290,30.393993,-97.716901,True,0,0.0,
OCM_218291,30.395855,-97.851517,True,2,0.0,
OCM_218294,30.401086,-97.707509,True,0,0.0,
OCM_218295,30.401434,-97.735844,True,0,0.0,
